icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
44cdc6,BEL1VC  ,Belgium,1787658188,1787658188,15.4948,45.4247,10957.56,False,217.25,308.17,0.0,,11437.62,6630,False,0,2026-08-25 11:43:14.978701
44cdc5,BEL9DK  ,Belgium,1787658188,1787658188,13.9293,45.0027,10355.58,False,206.38,305.16,0.65,,10805.16,1000,False,0,2026-08-25 11:43:14.978701
020175,MAC452E ,Morocco,1787658188,1787658189,9.5672,45.4787,2682.24,False,153.97,187.1,12.68,,2827.02,3743,False,0,2026-08-25 11:43:14.978701
4bb29a,TKJ1FZ  ,Turkey,1787658188,1787658188,9.905,46.8619,10675.62,False,246.52,126.94,0.0,,11094.72,7554,False,0,2026-08-25 11:43:14.978701
32007c,VOLP523 ,Italy,1787658188,1787658188,11.2374,44.5398,365.76,False,55.77,29.88,-3.9,,411.48,7452,False,0,2026-08-25 11:43:14.978701
896356,ETD918  ,United Arab Emirates,1787658185,1787658187,17.7672,44.1097,10058.4,False,261.14,139.15,0.0,,10568.94,3166,False,0,2026-08-25 11:43:14.978701
4d03c2,NATO01  ,Luxembourg,1787658172,1787658174,16.0992,43.0086,9433.56,False,218.6,156.27,0.0,,9966.96,7574,False,0,2026-08-25 11:43:14.978701
3e4109,DIPVD   ,Germany,1787658188,1787658188,7.5405,43.5417,944.88,False,84.47,317.47,0.0,,1021.08,,False,0,2026-08-25 11:43:14.978701
405455,BAW694  ,United Kingdom,1787658188,1787658188,15.0905,41.8278,11277.6,False,257.1,129.07,0.0,,11864.34,0547,False,0,2026-08-25 11:43:14.978701
4bb0f4,THY5RM  ,Turkey,1787658188,1787658188,11.1831,37.6109,12192.0,False,228.93,242.86,0.0,,12877.8,2334,False,0,2026-08-25 11:43:14.978701
44ce76,BEL3LZ  ,Belgium,1787658188,1787658189,6.7007,46.4234,10363.2,False,196.23,325.14,0.0,,10767.06,1000,False,0,2026-08-25 11:43:14.978701
320038,VOLPE01 ,Italy,1787658188,1787658188,12.6855,41.626,548.64,False,61.96,54.46,2.6,,617.22,,False,0,2026-08-25 11:43:14.978701
320037,DRAGO142,Italy,1787658188,1787658188,13.797,37.8196,1524.0,False,65.63,283.6,0.65,,1706.88,,False,0,2026-08-25 11:43:14.978701
4bb0fa,THY1832 ,Turkey,1787658188,1787658188,13.3592,46.5745,11887.2,False,248.39,121.88,0.0,,12313.92,7552,False,0,2026-08-25 11:43:14.978701
346649,VOE7BL  ,Spain,1787658188,1787658188,18.4973,40.1344,10972.8,False,210.37,294.87,-0.33,,11605.26,,False,0,2026-08-25 11:43:14.978701
0200eb,RAM947B ,Morocco,1787658187,1787658187,8.5955,43.3182,10668.0,False,209.98,223.31,0.0,,11193.78,4027,False,0,2026-08-25 11:43:14.978701
346611,VOE6UR  ,Spain,1787658151,1787658151,16.7274,43.1645,11102.34,False,236.9,28.68,3.58,,11323.32,,False,0,2026-08-25 11:43:14.978701
506e19,PUMA42  ,Slovenia,1787658187,1787658187,15.4803,45.9215,487.68,False,49.97,182.95,-0.98,,571.5,,False,0,2026-08-25 11:43:14.978701
780a19,CPA234  ,China,1787658187,1787658187,16.5327,45.3033,9448.8,False,277.39,88.41,0.0,,9890.76,5244,False,0,2026-08-25 11:43:14.978701
